Celebrity,India,Quora,Life,Love,Money,Job,Feelings,Donald_Trump,Progr_languages,Business,Android,Engineering,Indian,Girl,Sex,Why_dont,Buying,English,Facebook,.com,Computer_science,Age_related,Books,Google,study,Phone,Movie,College,Lose_weight,Math,Softwares,i_phone,possibilities,Highschool,Youtube
Mario Draghi,0.000766539881862708,0.0,0.0004739744293328181,9.548957566891674e-05,0.0012146947189101932,0.0006019597990586814,0.00010631830061792779,0.004100146111822344,0.00031472372795964747,0.003051699226756956,0.0,0.00012478618486634174,0.000743390328923679,9.989229798081702e-05,1.5426985086232425e-05,0.00016273325483681173,0.0003224173810535931,0.0008035145577178006,0.001108825352717186,0.0,0.00019919112224676085,0.00029854972993519546,0.0005615757808841141,8.131501024871403e-05,0.0007296745152071786,0.0017560239361021446,0.0013912401043781018,1.3498439014014532e-05,0.0001954067629475192,3.6505845521221414e-05,6.878624224531075e-05,0.0018347420031348263,0.0005323197302314591,0.0012832378151711983,0.0017559732949423172
Li Keqiang,0.0016939364604977728,0.0003339614855864419,0.00031169129323003304,0.0014177122778672344,0.00026993716303137273,0.0011424280251705044,0.00018474827097068015,0.0016678392977859556,0.0003575591437429395,0.0007306038583152277,0.0009193491622177811,0.0003002354158591599,0.0027349679843051335,0.0004100864027422457,0.0002522318339493476,0.00039736033068702315,0.0005270723016431882,0.003098802151349831,0.0009043309837836657,0.00016499433088019836,0.0013519483124038614,0.00040156153728192407,0.00037901018382635354,0.0005109085700123896,0.0005268916804662077,0.00012309438315755386,0.0004108939142305669,0.0006370844893378237,0.003390769415235162,0.0004233516985800842,0.000566862429348179,0.003941850623579492,0.0019618226334469327,0.0016782137961787737,0.0021601842892786335
Theresa May,0.0017872863395432933,0.00020079176680497647,0.00024247111710574404,0.00014284030685660505,0.0008758070585109578,0.0013512239727953364,0.00037602323167667216,0.007151292583673845,0.00014116908009228444,0.0004962362372044706,0.0,3.974888233208297e-05,0.0025522927875483133,0.00030486845787326434,0.0001648913431639304,0.0005612503378970134,0.0010509910632194492,0.0008355181702120269,0.00019794771464960828,1.8272718779392153e-05,0.0001441864003477981,0.0008901947789676881,0.0004600600541548911,0.0002659681900632457,0.0005999555817047497,0.009046960832330158,0.0004640316759167285,0.0005717125438318595,0.00040004079669938474,0.0002168476193227072,0.0005766805399541622,0.0014425087024278504,0.0018366844712134956,0.0008077667437646895,0.002096482483036442
Jeff Bezos,0.00046890638955327354,0.0002222662454987166,0.00032709246650109726,0.0,0.0007108550223178452,0.0001406641723985584,0.00010177174248999017,0.0004718684631376151,0.000252174119645938,0.017872611425560753,0.0004968775075043534,0.01561396218857264,0.0010889358638745178,1.12857828353399e-05,4.3504180139609266e-05,0.00019359382760435423,0.0017716921795993845,0.0004161422595053828,0.0013192235363822513,0.03017890059041112,0.030506740910156906,0.00039299568120088383,0.0010002111131871708,0.0012000020197902588,0.0006281177795885704,0.005875941759152215,0.0007817284356567135,0.0,0.00039946761852679356,0.001409001168215963,9.808648133750571e-05,0.025125777812341276,0.0009395145772925333,0.0004305182730683452,0.002894330273869794
Warren Buffett,0.0004179524547471005,0.0001821547266901312,0.0003931284528177944,4.023525290435123e-05,0.0008901139044534337,0.0007473242115350808,0.00024705086961873484,0.01963087710338343,0.0003007921576988863,0.028266451432206168,0.00029055507230308687,0.0009506216162874383,0.0007062752091000719,0.00017024844156769039,0.0018857659404919148,0.0004003593139564478,0.00010907973650646467,0.00015198244424809515,0.0005915030754544368,0.0004617207977103458,0.0014616841118308508,0.000966199778589162,0.0003416773777595079,0.0001833165585500831,0.0013183481999541691,0.00017959404164017312,0.00016436962012439951,0.000189290216614198,5.871137480050516e-05,0.0002209118303352036,0.000488855189307932,0.005847162708549458,0.0024514199970158217,0.009575553694548038,0.0021408808859477144
Salman bin Abdulaziz Al Saud,0.0,7.821251680203129e-06,0.0,0.0,3.540837803994769e-05,0.0,0.0,0.0,0.0,0.0003730461952475072,0.0001755195518878622,0.0,0.0,0.0,0.0,0.0,1.0520101609300795e-05,4.152704235374185e-05,0.007127575787186804,0.00017646763576593952,2.4803352788339883e-06,0.03176874398765332,0.00042379015027226474,0.0011539728191314136,0.0,0.0,6.561782547224144e-05,0.0,0.0,0.0,0.0,0.0001567101944335623,0.0,0.0,0.00021133405927985276
Carlos Slim Helu,5.900945720389057e-06,1.664476438805841e-05,2.855295791963422e-07,0.0001064796803553682,0.0,0.00016524911862274912,0.0,5.5344779790404026e-05,0.0,2.5429367616228806e-05,7.54805116449877e-05,0.0,0.0,0.00010468788378920009,0.0,0.0,5.9851788753149966e-05,5.694986149662492e-05,6.107290533192259e-06,3.5432955634036024e-05,0.0,2.5271634770036534e-05,0.0006464694902020254,8.488440285234102e-06,0.0,0.0,0.0005333793902179167,0.0,0.0,0.0,4.9165202376251195e-05,4.6992505439838515e-05,0.00011802066263610285,1.4964919078590407e-06,7.837632310294573e-05
Ali Hoseini-Khamenei,5.900945720389057e-06,1.664476438805841e-05,2.855295791963422e-07,0.0001064796803553682,0.0,0.00016524911862274912,0.0,5.5344779790404026e-05,0.0,2.5429367616228806e-05,7.54805116449877e-05,0.0,0.0,0.00010468788378920009,0.0,0.0,5.9851788753149966e-05,5.694986149662492e-05,6.107290533192259e-06,3.5432955634036024e-05,0.0,2.5271634770036534e-05,0.0006464694902020254,8.488440285234102e-06,0.0,0.0,0.0005333793902179167,0.0,0.0,0.0,4.9165202376251195e-05,4.6992505439838515e-05,0.00011802066263610285,1.4964919078590407e-06,7.837632310294573e-05
Jamie Dimon,0.0008480000945194736,0.00010629333205547171,0.0003656066709586867,0.0,0.0022096278830896557,0.0006813104064334924,0.00017770956421678518,0.005221531644953068,0.0,0.014349368021141683,0.0,0.0,0.0016490811843792585,0.00012510473928724455,0.00015104870091744578,0.0004491154506787394,0.00033334415499730423,0.0007146144311181499,0.002012699810278034,5.410434630675095e-05,0.0004241499730052228,0.0005882069647636697,0.0005084691505788181,0.0007620276381685764,0.0006789022854399607,0.0024432113995836563,0.0006382201588595255,4.4158740882994026e-05,0.0002617598453497762,0.00016488213331614112,0.0,0.0029025408544911114,0.0007988549170773279,0.0008175006994129292,0.002227552759470571
Benjamin Netanyahu,0.0019460149013091608,8.378435982580089e-05,0.00020483455215222405,1.6604857606038304e-05,0.00012478774027685767,0.00031416404920351834,0.0002382712015530302,0.003005383998732103,0.00012551517513948067,0.00043913227664429456,0.0,0.0003867080353996449,0.002528090929964072,0.00025861728101155966,0.0005353262900567715,0.00033544241034808947,0.0004347656915525784,0.00032672384125206314,0.00018694866883535988,3.70582380522157e-05,0.006804886608572062,0.0003382474243444904,0.0005877242797595768,0.0002623702369009334,0.0006110108047305529,0.0008718149483718032,0.0004315837884592002,0.0001983257135985313,0.0003326266778041792,0.00016230251932832185,0.0005650216356485332,0.0008654667193116944,0.0009465663530553484,0.0006607747947598152,0.002607399156401393
