Celebrity,f1,f2,f3,f4,f5,f6
Enrique Pena Nieto,0.001780449039012293,0.011209262669772516,0.0009135372455599137,0.00013985789047850768,0.0,0.0
Michael Bloomberg,0.0019697635745599762,0.0026360446769486206,0.0002972325494891221,0.0003259740874384582,0.002440608571827315,0.013288463529889792
Recep Erdogan,0.0,8.571039855081464e-06,0.0,2.2328403484826246e-05,0.0,6.201512221055272e-06
Abu Bakr al-Baghdadi,0.00040635974263725986,0.00048233245372697686,7.534399375564686e-05,6.578786060386976e-05,0.0004389259836462511,0.002117263084453236
Alisher Usmanov,0.0016245747521326194,0.00432465954965216,0.000612783534905004,0.0006059851357867713,0.001261343622179071,0.004898795599832839
Wang Jianlin,0.0023260343934814647,0.0014652855226201852,0.00016974717758894148,0.0006109723176540091,0.0017346490002547968,0.005261524503594296
Robin Li,0.0014459296488800147,0.0013442123307913902,0.007146129004901562,0.0005654483973373008,0.0012456506459959822,0.005791846856635503
Ginni Rometty,0.0009358477193448944,0.001101503316470285,0.0034499662379053526,0.0001792934701080926,0.0007527485594147103,0.008251645695720528
Mary Barra,0.0007370109157350615,0.0006176835985608558,8.494115068849425e-07,5.544190235338405e-06,0.0003271577597071612,0.00396173074599385
Bashar al-Assad,0.0008628676733695858,0.0016113924916651297,0.0,0.00032750433297970127,0.00042408878694406003,0.010787530550792807
Travis Kalanick,0.0005843319042967972,0.0012956177928186436,0.0003292141128642363,0.0010981841927987276,0.0003049457142657181,0.0018782825227276806
Carl Icahn,0.00038622574501459203,0.0008471908152526126,0.0003106138645300657,0.0,0.0016999018938559708,0.02679235009648275
Justin Trudeau,0.0010863258125697647,0.0013465935789186351,0.0007625885092365787,0.0004031976439384324,0.0004998769340758417,0.007014485630592007
Bob Iger,0.005766059824143028,0.00099203793911578,0.0013308912865172243,0.0002216151675896637,0.0006000536852217782,0.005621579051310888
Aliko Dangote,0.0007880351954583798,0.0012621511471883635,0.0003294329568550814,0.0002798516856449655,0.0011796053963349516,0.0031391949085349895
Mike Pence,0.0002742809943116446,0.0006510711910003517,0.0,2.3497812041601413e-05,0.0,0.014412419116051428
Rodrigo Duterte,0.0008384146747389318,0.0012860170660306044,0.0013888894897047578,0.00011155994865558908,0.0016115468752969271,0.007297045321294327
Ayman al-Zawahiri,0.0001728351376826027,0.0005362825692577374,8.407271530321137e-05,0.00011252277946223906,0.00017463668113171143,0.0021245410635550737
Sheldon Adelson,0.0004984742391337458,0.0003260352438379063,0.0,7.08742408729887e-05,0.0,0.02541092870541629
Peter Thiel,0.0007573564181702137,0.001010569906872908,0.00013634425184721108,0.0013107220751615509,0.008111447796022906,0.003507150830007375
Chuck Schumer,0.0009491778348873883,0.0011973094964212929,0.0,6.216847813654872e-05,0.0011759678208830594,0.0065415289634734725
